Candidate_ID,Job_Role,Source,Application_Date,Screening_Status,Technical_Interview,HR_Interview,Offer_Status,Offer_Accepted,Time_to_Hire_Days,CTC_Offered_LPA
1,Software Engineer,Naukri,2024-07-26,Passed,Passed,Rejected,Offered,Yes,51,7.24
2,HR Executive,Company Website,2024-07-28,Passed,Rejected,Rejected,Not Offered,Pending,57,10.83
3,Business Analyst,Campus,2024-01-01,Passed,Not Attended,Rejected,Not Offered,No,35,16.7
4,HR Executive,Company Website,2024-12-25,Passed,Rejected,Passed,Not Offered,Pending,30,15.06
5,HR Executive,Company Website,2024-03-05,Passed,Not Attended,Pending,Offered,Yes,35,3.54
6,Data Scientist,Campus,2024-01-01,Rejected,Not Attended,Rejected,Offered,No,12,3.03
7,Business Analyst,Company Website,2024-08-30,Rejected,Passed,Pending,Not Offered,Yes,20,15.82
8,Business Analyst,Campus,2024-11-11,Passed,Rejected,Passed,Not Offered,No,16,10.71
9,Business Analyst,Campus,2024-01-25,Passed,Passed,Pending,Not Offered,Pending,57,11.7
10,HR Executive,Campus,2024-12-12,Passed,Passed,Passed,Offered,No,23,19.4
11,Software Engineer,Naukri,2024-02-19,Rejected,Passed,Rejected,Not Offered,No,48,5.25
12,Business Analyst,Referral,2024-12-13,Passed,Not Attended,Rejected,Offered,Yes,17,3.55
13,HR Executive,Naukri,2024-08-28,Passed,Passed,Pending,Offered,Pending,5,6.21
14,Data Scientist,Campus,2024-02-01,Rejected,Rejected,Passed,Not Offered,Pending,17,15.11
15,Software Engineer,Referral,2024-02-02,Passed,Rejected,Passed,Not Offered,Pending,8,6.1
16,Data Scientist,Referral,2024-07-18,Rejected,Rejected,Pending,Not Offered,Pending,55,11.99
17,Software Engineer,Campus,2024-08-21,Passed,Rejected,Passed,Not Offered,Pending,49,17.55
18,HR Executive,Referral,2024-01-26,Passed,Passed,Passed,Offered,No,52,17.29
19,Data Analyst,Referral,2024-02-11,Passed,Rejected,Rejected,Offered,Pending,35,6.57
20,Software Engineer,Naukri,2024-03-01,Rejected,Rejected,Passed,Not Offered,No,12,18.25
21,Data Scientist,Referral,2024-02-10,Rejected,Rejected,Passed,Not Offered,Pending,31,19.9
22,HR Executive,Campus,2024-05-09,Passed,Passed,Passed,Not Offered,No,12,19.56
23,Software Engineer,LinkedIn,2024-12-20,Passed,Passed,Passed,Not Offered,Pending,55,18.15
24,Data Analyst,LinkedIn,2024-12-19,Passed,Not Attended,Rejected,Not Offered,Yes,28,4.07
25,Data Analyst,LinkedIn,2024-07-16,Rejected,Passed,Passed,Offered,No,26,13.66
26,Business Analyst,Campus,2024-10-13,Passed,Passed,Pending,Offered,Pending,44,10.48
27,Business Analyst,LinkedIn,2024-05-30,Rejected,Passed,Pending,Not Offered,No,33,7.75
28,Data Scientist,Naukri,2024-07-22,Passed,Passed,Passed,Not Offered,Yes,13,8.36
29,Software Engineer,Campus,2024-06-30,Passed,Passed,Pending,Not Offered,Pending,21,19.03
30,Software Engineer,Campus,2024-07-25,Passed,Rejected,Pending,Not Offered,No,5,19.18
31,Business Analyst,Campus,2024-05-26,Rejected,Not Attended,Rejected,Not Offered,No,48,4.72
32,Software Engineer,Referral,2024-07-22,Rejected,Passed,Pending,Not Offered,No,36,6.46
33,Software Engineer,Referral,2024-02-17,Passed,Passed,Passed,Not Offered,Yes,24,18.61
34,Data Analyst,Referral,2024-09-14,Passed,Rejected,Pending,Not Offered,Yes,5,13.44
35,Business Analyst,Company Website,2024-05-18,Passed,Passed,Rejected,Offered,Pending,29,15.01
36,HR Executive,Naukri,2024-06-20,Passed,Not Attended,Passed,Not Offered,No,45,8.91
37,Business Analyst,Campus,2024-04-10,Rejected,Passed,Pending,Not Offered,No,31,7.1
38,HR Executive,Campus,2024-07-05,Passed,Passed,Rejected,Not Offered,Yes,27,10.57
39,Data Analyst,Referral,2024-11-10,Rejected,Rejected,Passed,Not Offered,Yes,22,8.79
40,Data Scientist,Campus,2024-10-20,Rejected,Rejected,Passed,Offered,No,56,19.06
41,Software Engineer,Campus,2024-12-28,Rejected,Rejected,Pending,Not Offered,No,35,5.8
42,Data Analyst,LinkedIn,2024-01-21,Rejected,Passed,Pending,Not Offered,No,32,19.86
43,Software Engineer,Campus,2024-10-24,Passed,Passed,Rejected,Not Offered,Pending,56,18.41
44,Data Scientist,Company Website,2024-01-10,Rejected,Not Attended,Rejected,Not Offered,Pending,46,12.71
45,Data Scientist,Referral,2024-07-05,Passed,Not Attended,Passed,Not Offered,No,25,8.82
46,Data Analyst,Naukri,2024-05-12,Passed,Passed,Rejected,Not Offered,Pending,16,15.3
47,Data Scientist,Naukri,2024-02-02,Rejected,Not Attended,Pending,Not Offered,Pending,41,11.17
48,HR Executive,LinkedIn,2024-03-09,Passed,Rejected,Pending,Offered,No,28,9.37
49,Data Scientist,Naukri,2024-03-20,Rejected,Rejected,Rejected,Not Offered,Yes,55,8.65
50,Software Engineer,Naukri,2024-07-09,Rejected,Passed,Pending,Not Offered,No,43,4.36
51,Software Engineer,Referral,2024-04-10,Rejected,Rejected,Pending,Not Offered,Pending,53,10.39
52,Software Engineer,Referral,2024-10-11,Passed,Passed,Passed,Not Offered,Yes,37,7.21
53,Software Engineer,Company Website,2024-08-08,Passed,Rejected,Passed,Not Offered,Yes,55,3.33
54,HR Executive,LinkedIn,2024-02-22,Passed,Passed,Passed,Offered,Pending,21,6.97
55,Business Analyst,Naukri,2024-06-08,Rejected,Rejected,Rejected,Not Offered,Pending,37,6.99
56,Data Analyst,Company Website,2024-02-11,Passed,Passed,Pending,Not Offered,Yes,20,8.14
57,Software Engineer,LinkedIn,2024-02-16,Passed,Passed,Passed,Not Offered,No,55,19.07
58,Data Scientist,Naukri,2024-06-07,Passed,Passed,Pending,Offered,Yes,31,18.29
59,Software Engineer,Naukri,2024-07-02,Passed,Passed,Rejected,Not Offered,Yes,45,3.54
60,Data Scientist,Referral,2024-09-02,Passed,Passed,Pending,Offered,No,57,7.05
61,Data Scientist,Campus,2024-01-11,Passed,Passed,Passed,Not Offered,Pending,32,10.52
62,Software Engineer,LinkedIn,2024-06-02,Passed,Not Attended,Passed,Not Offered,Pending,40,7.72
63,HR Executive,Naukri,2024-08-07,Rejected,Rejected,Rejected,Offered,Pending,11,9.72
64,Data Scientist,LinkedIn,2024-06-03,Passed,Rejected,Pending,Not Offered,No,38,17.12
65,Data Scientist,Company Website,2024-12-04,Passed,Passed,Pending,Not Offered,No,58,12.68
66,Software Engineer,Company Website,2024-12-30,Passed,Passed,Rejected,Not Offered,No,50,10.13
67,Data Scientist,Campus,2024-10-09,Rejected,Passed,Passed,Not Offered,Yes,5,11.26
68,Data Scientist,Naukri,2024-07-05,Passed,Rejected,Passed,Not Offered,Pending,8,7.67
69,Software Engineer,Referral,2024-03-02,Passed,Passed,Pending,Not Offered,Yes,58,6.57
70,Software Engineer,Naukri,2024-05-27,Passed,Rejected,Passed,Offered,No,30,6.61
71,Data Analyst,LinkedIn,2024-05-23,Passed,Passed,Rejected,Not Offered,No,24,16.58
72,HR Executive,Company Website,2024-04-12,Passed,Not Attended,Rejected,Not Offered,Yes,59,6.29
73,HR Executive,LinkedIn,2024-10-26,Passed,Passed,Rejected,Offered,Pending,55,18.49
74,Data Scientist,Campus,2024-04-02,Rejected,Passed,Rejected,Offered,Pending,17,10.64
75,HR Executive,Company Website,2024-10-12,Passed,Rejected,Pending,Not Offered,Pending,39,12.07
76,Data Scientist,Referral,2024-04-28,Passed,Not Attended,Pending,Not Offered,Pending,14,13.39
77,Data Analyst,Company Website,2024-01-29,Passed,Rejected,Pending,Offered,No,12,8.21
78,Software Engineer,Naukri,2024-01-30,Passed,Passed,Rejected,Not Offered,No,22,18.22
79,Software Engineer,Naukri,2024-12-25,Rejected,Rejected,Passed,Offered,No,21,13.34
80,Software Engineer,Company Website,2024-10-14,Passed,Not Attended,Pending,Offered,Pending,9,18.29
81,HR Executive,Campus,2024-05-17,Rejected,Passed,Passed,Not Offered,No,34,11.63
82,Data Analyst,Naukri,2024-02-20,Rejected,Passed,Rejected,Not Offered,No,35,3.66
83,HR Executive,Naukri,2024-10-18,Passed,Not Attended,Passed,Not Offered,Yes,43,3.53
84,HR Executive,Referral,2024-08-21,Rejected,Not Attended,Rejected,Not Offered,Pending,56,8.23
85,Data Analyst,Company Website,2024-02-24,Passed,Rejected,Passed,Offered,Pending,28,17.4
86,Data Analyst,Naukri,2024-10-18,Passed,Not Attended,Pending,Not Offered,Yes,21,7.53
87,Data Analyst,Campus,2024-08-27,Passed,Passed,Pending,Not Offered,Pending,57,11.24
88,Data Analyst,LinkedIn,2024-11-07,Passed,Rejected,Rejected,Not Offered,Pending,38,6.43
89,Software Engineer,Company Website,2024-02-05,Passed,Rejected,Passed,Not Offered,Yes,47,15.75
90,Business Analyst,Referral,2024-03-29,Passed,Rejected,Rejected,Offered,No,39,14.39
91,Business Analyst,Naukri,2024-07-30,Passed,Rejected,Passed,Not Offered,Pending,19,18.34
92,Data Analyst,Campus,2024-11-13,Passed,Not Attended,Pending,Offered,No,58,9.04
93,Business Analyst,Company Website,2024-12-30,Passed,Passed,Passed,Not Offered,Pending,15,19.74
94,Business Analyst,Campus,2024-09-01,Passed,Passed,Passed,Offered,No,38,17.92
95,Data Analyst,Campus,2024-03-27,Passed,Passed,Rejected,Offered,Yes,12,10.62
96,Business Analyst,Referral,2024-08-27,Passed,Rejected,Pending,Not Offered,Yes,19,17.62
97,HR Executive,Company Website,2024-11-15,Passed,Passed,Rejected,Offered,Pending,40,10.22
98,Data Scientist,Naukri,2024-07-06,Passed,Not Attended,Passed,Not Offered,Yes,59,16.39
99,Data Scientist,Referral,2024-02-26,Passed,Passed,Passed,Not Offered,Pending,41,9.12
100,Data Analyst,Naukri,2024-04-22,Passed,Passed,Passed,Not Offered,No,27,7.34
101,Software Engineer,LinkedIn,2024-08-10,Passed,Rejected,Passed,Not Offered,Yes,43,15.54
102,Data Analyst,Campus,2024-03-10,Rejected,Rejected,Pending,Not Offered,No,30,19.4
103,Software Engineer,LinkedIn,2024-08-14,Passed,Passed,Passed,Not Offered,No,38,15.35
104,Data Scientist,Campus,2024-09-12,Passed,Rejected,Rejected,Not Offered,Yes,15,19.6
105,Data Analyst,Referral,2024-06-28,Passed,Passed,Pending,Offered,Pending,58,18.65
106,HR Executive,Naukri,2024-07-02,Passed,Passed,Passed,Offered,Pending,16,10.25
107,Business Analyst,Naukri,2024-07-09,Passed,Passed,Pending,Not Offered,Yes,12,11.59
108,Software Engineer,Referral,2024-08-19,Passed,Rejected,Pending,Offered,Pending,50,6.24
109,Business Analyst,Company Website,2024-10-02,Passed,Passed,Passed,Not Offered,No,12,10.47
110,Business Analyst,LinkedIn,2024-08-20,Passed,Not Attended,Pending,Not Offered,Pending,45,16.04
111,Data Analyst,LinkedIn,2024-02-23,Rejected,Rejected,Rejected,Not Offered,Yes,9,11.88
112,Business Analyst,Naukri,2024-09-13,Passed,Passed,Rejected,Not Offered,No,49,19.55
113,HR Executive,Naukri,2024-03-30,Passed,Passed,Pending,Not Offered,No,14,4.95
114,Business Analyst,Naukri,2024-08-13,Rejected,Passed,Pending,Offered,Pending,7,11.63
115,Data Analyst,Referral,2024-09-03,Passed,Rejected,Rejected,Not Offered,Yes,47,12.05
116,HR Executive,Company Website,2024-05-30,Rejected,Rejected,Passed,Offered,Pending,41,5.53
117,Data Scientist,LinkedIn,2024-04-22,Passed,Rejected,Passed,Offered,Pending,26,16.55
118,Business Analyst,Campus,2024-09-25,Passed,Passed,Pending,Offered,No,29,16.91
119,Data Analyst,Referral,2024-06-05,Passed,Passed,Pending,Not Offered,No,8,18.26
120,Data Scientist,LinkedIn,2024-12-12,Rejected,Passed,Passed,Offered,No,41,18.93
121,Data Scientist,Company Website,2024-12-16,Passed,Passed,Passed,Not Offered,No,12,15.71
122,Software Engineer,Referral,2024-10-25,Rejected,Passed,Pending,Offered,No,34,17.31
123,HR Executive,LinkedIn,2024-06-07,Passed,Not Attended,Passed,Not Offered,No,13,4.24
124,Business Analyst,Referral,2024-11-25,Passed,Rejected,Passed,Not Offered,Pending,19,9.52
125,Data Analyst,LinkedIn,2024-08-12,Rejected,Rejected,Passed,Not Offered,Yes,5,7.84
126,Software Engineer,LinkedIn,2024-01-14,Passed,Passed,Passed,Not Offered,No,55,16.5
127,HR Executive,Company Website,2024-12-20,Rejected,Passed,Pending,Not Offered,No,48,8.25
128,Software Engineer,Campus,2024-04-18,Passed,Passed,Pending,Not Offered,No,17,11.52
129,HR Executive,Company Website,2024-04-05,Rejected,Passed,Passed,Offered,Yes,8,10.2
130,HR Executive,LinkedIn,2024-07-13,Passed,Rejected,Pending,Not Offered,Pending,20,15.89
131,Business Analyst,Referral,2024-02-27,Passed,Passed,Passed,Not Offered,No,48,12.8
132,HR Executive,Company Website,2024-12-17,Rejected,Not Attended,Pending,Not Offered,Pending,51,9.71
133,Software Engineer,Campus,2024-10-20,Passed,Not Attended,Passed,Not Offered,No,5,5.23
134,HR Executive,LinkedIn,2024-06-02,Passed,Passed,Pending,Offered,Yes,18,5.78
135,Business Analyst,Company Website,2024-03-04,Passed,Rejected,Passed,Not Offered,Yes,31,15.27
136,Business Analyst,Company Website,2024-06-06,Passed,Rejected,Passed,Not Offered,No,30,3.57
137,Software Engineer,Company Website,2024-09-21,Rejected,Passed,Pending,Not Offered,Yes,51,10.45
138,Data Scientist,Company Website,2024-04-30,Passed,Not Attended,Passed,Offered,Pending,36,15.41
139,Data Scientist,Referral,2024-10-14,Passed,Passed,Pending,Not Offered,Pending,44,9.2
140,HR Executive,Campus,2024-01-11,Passed,Rejected,Passed,Not Offered,Pending,6,14.06
141,Data Analyst,Campus,2024-08-01,Rejected,Passed,Passed,Not Offered,Pending,20,16.07
142,HR Executive,LinkedIn,2024-06-10,Passed,Passed,Pending,Not Offered,No,32,17.96
143,Software Engineer,Naukri,2024-04-14,Passed,Passed,Rejected,Not Offered,No,53,6.81
144,Software Engineer,Referral,2024-05-26,Passed,Not Attended,Rejected,Not Offered,No,30,14.97
145,Software Engineer,LinkedIn,2024-06-30,Passed,Passed,Passed,Not Offered,Yes,15,12.5
146,Software Engineer,LinkedIn,2024-12-03,Rejected,Passed,Rejected,Offered,No,27,10.8
147,Software Engineer,Company Website,2024-02-06,Passed,Passed,Passed,Offered,No,34,10.11
148,Business Analyst,Naukri,2024-03-22,Passed,Passed,Rejected,Not Offered,Pending,56,17.84
149,Data Scientist,Naukri,2024-01-12,Passed,Rejected,Rejected,Offered,No,35,6.05
150,Software Engineer,Referral,2024-01-04,Rejected,Rejected,Rejected,Not Offered,Yes,6,16.23
151,Data Analyst,Naukri,2024-02-12,Passed,Not Attended,Pending,Not Offered,No,24,4.3
152,Data Analyst,LinkedIn,2024-02-20,Passed,Rejected,Rejected,Not Offered,Pending,33,12.31
153,Data Analyst,Naukri,2024-09-17,Passed,Not Attended,Passed,Not Offered,Pending,14,5.72
154,Data Analyst,Naukri,2024-05-13,Rejected,Rejected,Passed,Not Offered,Yes,22,10.81
155,Business Analyst,Campus,2024-03-27,Passed,Not Attended,Rejected,Not Offered,Pending,35,11.2
156,Data Analyst,LinkedIn,2024-12-27,Passed,Passed,Passed,Offered,No,8,15.44
157,Software Engineer,Naukri,2024-02-25,Passed,Passed,Passed,Not Offered,Yes,31,6.55
158,HR Executive,Naukri,2024-08-04,Passed,Not Attended,Pending,Not Offered,Pending,22,8.02
159,Data Analyst,Company Website,2024-03-08,Rejected,Rejected,Pending,Not Offered,Yes,48,11.52
160,Business Analyst,Naukri,2024-12-17,Passed,Not Attended,Rejected,Offered,Pending,35,15.86
161,Business Analyst,Naukri,2024-02-13,Rejected,Passed,Rejected,Not Offered,Pending,11,12.26
162,Data Analyst,Campus,2024-05-22,Passed,Not Attended,Rejected,Offered,Pending,23,16.5
163,HR Executive,LinkedIn,2024-12-11,Passed,Rejected,Rejected,Not Offered,Yes,43,14.13
164,Data Analyst,Referral,2024-02-11,Passed,Passed,Pending,Not Offered,Pending,6,18.63
165,Business Analyst,LinkedIn,2024-05-18,Rejected,Passed,Pending,Offered,Pending,18,14.37
166,Data Scientist,Company Website,2024-03-13,Passed,Passed,Passed,Not Offered,Pending,40,8.89
167,Software Engineer,LinkedIn,2024-09-23,Rejected,Not Attended,Pending,Not Offered,No,47,4.71
168,Business Analyst,Naukri,2024-07-12,Passed,Rejected,Pending,Offered,No,59,14.97
169,Data Analyst,Company Website,2024-06-03,Passed,Not Attended,Passed,Not Offered,Yes,50,19.7
170,Software Engineer,LinkedIn,2024-09-02,Rejected,Passed,Passed,Not Offered,Yes,32,11.29
